Company Name,City,State,Location
"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
"KRATOS UNMANNED AERIAL SYSTEMS, INC.",SACRAMENTO,CALIFORNIA,"38.5781342, -121.4944209"
"KRI AT NORTHEASTERN UNIVERSITY, LLC",BURLINGTON,MASSACHUSETTS,"42.5047161, -71.1956205"
KROESCHELL ENGINEERING CO. INC.,ARLINGTON HEIGHTS,ILLINOIS,"42.0883603, -87.98062650000001"
"KRUEGER INTERNATIONAL, INC.",GREEN BAY,WISCONSIN,"44.5133188, -88.0132958"
"KUPONO GOVERNMENT SERVICES, LLC",HONOLULU,HAWAII,"21.3098845, -157.8581401"
KZF DESIGN INC,CINCINNATI,OHIO,"39.1031182, -84.5120196"
L B & B ASSOCIATES INC.,COLUMBIA,MARYLAND,"39.2037144, -76.86104619999999"
L C INDUSTRIES INC.,DURHAM,NORTH CAROLINA,"35.9955684, -78.9002077"
"L. S. BLACK CONSTRUCTORS, LLC",SAINT PAUL,MINNESOTA,"44.9537029, -93.0899578"
"L3 APPLIED TECHNOLOGIES, INC.",SAN LEANDRO,CALIFORNIA,"37.7257663, -122.1568554"
"L3 AVIATION PRODUCTS, INC.",ALPHARETTA,GEORGIA,"34.0746204, -84.29228619999999"
L-3 COMMUNICATIONS CORPORATION,GREENVILLE,TEXAS,"33.1398034, -96.1072021"
L-3 COMMUNICATIONS INTEGRATED SYSTEMS L.P.,WACO,TEXAS,"31.5575916, -97.12899220000001"
L-3 COMMUNICATIONS INTEGRATED SYSTEMS L.P.,TULSA,OKLAHOMA,"36.1551375, -95.98950099999999"
"L-3 COMMUNICATIONS MARIPRO, INC.",GOLETA,CALIFORNIA,"34.4358294, -119.8276389"
L-3 COMMUNICATIONS VERTEX AEROSPACE LLC,MADISON,MISSISSIPPI,"32.4618086, -90.1153638"
"L3 ELECTRON DEVICES, INC.",WILLIAMSPORT,PENNSYLVANIA,"41.2411897, -77.00107860000001"
"L3 SECURITY & DETECTION SYSTEMS, INC.",TEWKSBURY,MASSACHUSETTS,"42.6106478, -71.23422479999999"
"L3 TECHNOLOGIES, INC.",TEMPE,ARIZONA,"33.4255104, -111.9400054"
"L3 TECHNOLOGIES, INC.",GOLETA,CALIFORNIA,"34.4358294, -119.8276389"
"L3 TECHNOLOGIES, INC.",MENLO PARK,CALIFORNIA,"37.4529598, -122.1817252"
"L3 TECHNOLOGIES, INC.",CAMDEN,NEW JERSEY,"39.9425241, -75.1164689"
"L3 TECHNOLOGIES, INC.",CAMDEN,NEW JERSEY,"39.9425241, -75.1164689"
"L3 TECHNOLOGIES, INC.",BRISTOL,PENNSYLVANIA,"40.1006661, -74.8518311"
"L3 TECHNOLOGIES, INC.",SALT LAKE CITY,UTAH,"40.7605601, -111.8881397"
"L3 TECHNOLOGIES, INC.",NORTHAMPTON,MASSACHUSETTS,"42.3250896, -72.64120129999999"
"L3 TECHNOLOGIES, INC.",WILMINGTON,MASSACHUSETTS,"42.5481714, -71.1724467"
"L3 TECHNOLOGIES, INC.",LONDONDERRY,NEW HAMPSHIRE,"42.8464852, -71.3616057"
"L3 TECHNOLOGIES, INC.",ROCHESTER,NEW YORK,"43.15657789999999, -77.6088465"
"L3 TECHNOLOGIES, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
"L3 UNIDYNE, INC.",NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
"L3HARRIS AVIATION PRODUCTS,INC",GRAND RAPIDS,MICHIGAN,"42.9704146, -85.6721946"
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",ANAHEIM,CALIFORNIA,"33.8365932, -117.9143012"
L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,ROCKWALL,TEXAS,"32.9090739, -96.4500618"
"L3HARRIS TECHNOLOGIES, INC.",PALM BAY,FLORIDA,"28.0344621, -80.5886646"
"L3HARRIS TECHNOLOGIES, INC.",VAN NUYS,CALIFORNIA,"34.2012166, -118.466222"
"L3HARRIS TECHNOLOGIES, INC.",COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
"L3HARRIS TECHNOLOGIES, INC.",COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
"L3HARRIS TECHNOLOGIES, INC.",AMITYVILLE,NEW YORK,"40.6789893, -73.4170673"
"L3HARRIS TECHNOLOGIES, INC.",CLIFTON,NEW JERSEY,"40.8654493, -74.1610268"
"L3HARRIS TECHNOLOGIES, INC.",ROCHESTER,NEW YORK,"43.15657789999999, -77.6088465"
LA JOLLA INSTITUTE FOR IMMUNOLOGY,LA JOLLA,CALIFORNIA,"32.8328112, -117.2712717"
LABORATORY CORPORATION OF AMERICA,BURLINGTON,NORTH CAROLINA,"36.0959767, -79.43716049999999"
LABVANTAGE SOLUTIONS INC,SOMERSET,NEW JERSEY,"40.5292099, -74.64004320000001"
"LAKESHORE LEARNING MATERIALS, LLC",CARSON,CALIFORNIA,"33.8316745, -118.281693"
LAKESIDE FOODS INC,MANITOWOC,WISCONSIN,"44.0886059, -87.657584"
LAMB INFORMATICS LIMITED,GERMANTOWN,MARYLAND,"39.1731621, -77.2716502"
"LAMPSON INTERNATIONAL, LLC",KENNEWICK,WASHINGTON,"46.2086683, -119.119948"
LAND O LAKES INC,SAINT PAUL,MINNESOTA,"44.9537029, -93.0899578"
LANDVEST INC,CONCORD,NEW HAMPSHIRE,"43.20622059999999, -71.5398156"
"LANE CONSTRUCTION CORPORATION, THE",CHESHIRE,CONNECTICUT,"41.5083668, -72.9106202"
"LANGUAGE LINE, LLC",MONTEREY,CALIFORNIA,"36.5972925, -121.8977688"
LAS VEGAS PAVING CORPORATION,LAS VEGAS,NEVADA,"36.171563, -115.1391009"
LASSONDE PAPPAS & CO INC,CHERRY HILL,NEW JERSEY,"39.9139124, -75.0102047"
LAUREL TECHNOLOGIES PARTNERSHIP,LARGO,FLORIDA,"27.9182717, -82.7748945"
LEEWARD CONSTRUCTION INC,HONESDALE,PENNSYLVANIA,"41.5767552, -75.25878709999999"
"LEIDOS BIOMEDICAL RESEARCH, INC.",FREDERICK,MARYLAND,"39.41426879999999, -77.4105409"
LEIDOS INC,RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
LEIDOS INC,RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
LEIDOS INC,GAITHERSBURG,MARYLAND,"39.1439689, -77.2016062"
LEIDOS INNOVATIONS CORPORATION,HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
LEIDOS INNOVATIONS CORPORATION,GAITHERSBURG,MARYLAND,"39.1439689, -77.2016062"
"LEIDOS, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
"LEIDOS, INC.",RIDGECREST,CALIFORNIA,"35.6205062, -117.6717812"
"LEIDOS, INC.",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"LEIDOS, INC.",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"LEIDOS, INC.",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"LEIDOS, INC.",KING OF PRUSSIA,PENNSYLVANIA,"40.1012856, -75.3835525"
"LEIDOS, INC.",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"LELAND STANFORD JUNIOR UNIVERSITY, THE",STANFORD,CALIFORNIA,"37.42410599999999, -122.1660756"
LENDLEASE (US) CONSTRUCTION INC.,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
LEO A DALY + NBBJ JV,MINNEAPOLIS,MINNESOTA,"44.977753, -93.2650108"
LEONARDO ELECTRONICS US INC.,TUCSON,ARIZONA,"32.2539787, -110.9741769"
LEPRINO FOODS DAIRY PRODUCTS CO,DENVER,COLORADO,"39.7392358, -104.990251"
"LESLIE CONTROLS, INC.",TAMPA,FLORIDA,"27.9516896, -82.45875269999999"
"LEVEL 3 TELECOM HOLDINGS, LLC",LITTLETON,COLORADO,"39.613321, -105.0166498"
"LEWIN GROUP, INC., THE",FALLS CHURCH,VIRGINIA,"38.88233400000001, -77.1710914"
LEXISNEXIS SPECIAL SERVICES INC.,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
LGS INNOVATIONS LLC,HIGH POINT,NORTH CAROLINA,"35.9556923, -80.0053176"
LGS INNOVATIONS LLC,FLORHAM PARK,NEW JERSEY,"40.7881053, -74.3893296"
LGS INNOVATIONS LLC,FLORHAM PARK,NEW JERSEY,"40.7881053, -74.3893296"
LIFE CYCLE ENGINEERING INC,NORTH CHARLESTON,SOUTH CAROLINA,"32.8745076, -80.0106768"
"LIFECARE, INC.",SHELTON,CONNECTICUT,"41.3164856, -73.0931641"
LIND MARINE LLC,VALLEJO,CALIFORNIA,"38.1040864, -122.2566367"
LINQUEST CORPORATION,LOS ANGELES,CALIFORNIA,"34.0549076, -118.242643"
"LIONBRIDGE GLOBAL SOLUTIONS II, INC.",WALTHAM,MASSACHUSETTS,"42.3764358, -71.23575009999999"
"LIONS SERVICES, INC.",CHARLOTTE,NORTH CAROLINA,"35.2215548, -80.840116"
LION-VALLEN LIMITED PARTNERSHIP,DAYTON,OHIO,"39.7592225, -84.1936144"
"LIQUIDAGENTS HEALTHCARE, LLC",PLANO,TEXAS,"33.0216577, -96.6979973"
LIVANTA LLC,ANNAPOLIS JUNCTION,MARYLAND,"39.1209588, -76.77564459999999"
"LMI CONSULTING, LLC",TYSONS CORNER,VIRGINIA,"38.9187222, -77.2310925"
LOC PERFORMANCE PRODUCTS LLC,SAINT MARYS,OHIO,"40.5425341, -84.38957010000001"
LOC PERFORMANCE PRODUCTS LLC,PLYMOUTH,MICHIGAN,"42.3714253, -83.4702132"
LOCKHEED MARTIN CORP,ORLANDO,FLORIDA,"28.5383832, -81.3789269"
LOCKHEED MARTIN CORP,MARIETTA,GEORGIA,"33.9532531, -84.5499358"
LOCKHEED MARTIN CORP,SUNNYVALE,CALIFORNIA,"37.36883, -122.0363496"
LOCKHEED MARTIN CORP,LITTLETON,COLORADO,"39.613321, -105.0166498"
LOCKHEED MARTIN CORP,KING OF PRUSSIA,PENNSYLVANIA,"40.1012856, -75.3835525"
LOCKHEED MARTIN CORPORATION,TITUSVILLE,FLORIDA,"28.6080347, -80.8084112"
LOCKHEED MARTIN CORPORATION,GRAND PRAIRIE,TEXAS,"32.7459645, -96.99778459999999"
LOCKHEED MARTIN CORPORATION,FORT WORTH,TEXAS,"32.7554883, -97.3307658"
LOCKHEED MARTIN CORPORATION,PALMDALE,CALIFORNIA,"34.577677, -118.1158545"
LOCKHEED MARTIN CORPORATION,PALO ALTO,CALIFORNIA,"37.4418834, -122.1430195"
LOCKHEED MARTIN CORPORATION,MANASSAS,VIRGINIA,"38.7512726, -77.4706769"
LOCKHEED MARTIN CORPORATION,COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
LOCKHEED MARTIN CORPORATION,BALTIMORE,MARYLAND,"39.2905023, -76.6104072"
LOCKHEED MARTIN CORPORATION,MOORESTOWN,NEW JERSEY,"39.96353209999999, -74.95058019999999"
LOCKHEED MARTIN CORPORATION,KING OF PRUSSIA,PENNSYLVANIA,"40.1012856, -75.3835525"
LOCKHEED MARTIN CORPORATION,KING OF PRUSSIA,PENNSYLVANIA,"40.1012856, -75.3835525"
LOCKHEED MARTIN CORPORATION,UNIONDALE,NEW YORK,"40.700611, -73.5931669"
LOCKHEED MARTIN CORPORATION,OWEGO,NEW YORK,"42.1034075, -76.2621549"
LOCKHEED MARTIN CORPORATION,LIVERPOOL,NEW YORK,"43.102511, -76.2047882"
"LOCKHEED MARTIN SIPPICAN, INC.",MARION,MASSACHUSETTS,"41.7024461, -70.7657499"
"LOCUMTENENS.COM, LLC",ALPHARETTA,GEORGIA,"34.0746204, -84.29228619999999"
"LOGISTIC SERVICES INTERNATIONAL, INC.",JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
"LOGISTICS HEALTH, INC.",LA CROSSE,WISCONSIN,"43.8137751, -91.25190169999999"
LOGISTICS MANAGEMENT INSTITUTE,TYSONS,VIRGINIA,"38.9187222, -77.2310925"
LOGOS TECHNOLOGIES LLC,FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
"LOMBART BROTHERS, INC.",NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
"LONG TERM CARE PARTNERS, LLC",NEWINGTON,NEW HAMPSHIRE,"43.0995451, -70.8327999"
LONGBOW LLC,ORLANDO,FLORIDA,"28.5383832, -81.3789269"
LORD CORP,ERIE,PENNSYLVANIA,"42.1290386, -80.0849716"
"LOST ARROW, INC.",VENTURA,CALIFORNIA,"34.2808409, -119.2931259"
"LOUIS BERGER HAWTHORNE SERVICES, INC.",GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
LOVELACE BIOMEDICAL RESEARCH INSTITUTE,ALBUQUERQUE,NEW MEXICO,"35.0843859, -106.650422"
LOYAL SOURCE GOVERNMENT SERVICES LLC,ORLANDO,FLORIDA,"28.5383832, -81.3789269"
"LS TECHNOLOGIES, LLC",FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
"LUHR CROSBY, LLC",COLUMBIA,ILLINOIS,"38.44366369999999, -90.2012239"
"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"LUMEN TECHNOLOGIES GOVERNMENT SOLUTIONS, INC.",DENVER,COLORADO,"39.7392358, -104.990251"
"LUXFER MAGTECH, INC.",CINCINNATI,OHIO,"39.1031182, -84.5120196"
LYNDEN AIR CARGO LLC,ANCHORAGE,ALASKA,"61.2175758, -149.8996785"
"M V M, INC.",ASHBURN,VIRGINIA,"39.0437567, -77.4874416"
M. A. MORTENSON COMPANY,MINNEAPOLIS,MINNESOTA,"44.977753, -93.2650108"
"M. ARTHUR GENSLER JR. & ASSOCIATES, INC.",SAN FRANCISCO,CALIFORNIA,"37.7749295, -122.4194155"
"M. ARTHUR GENSLER JR. & ASSOCIATES, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"M. C. DEAN, INC.",TYSONS,VIRGINIA,"38.9187222, -77.2310925"
"M1 SUPPORT SERVICES, L.P.",DENTON,TEXAS,"33.2165858, -97.13241049999999"
"MACCAFERRI, INC.",WILLIAMSPORT,MARYLAND,"39.6006523, -77.82055079999999"
MACK DEFENSE LLC,ALLENTOWN,PENNSYLVANIA,"40.6022939, -75.4714098"
MACOM TECHNOLOGY SOLUTIONS INC,LOWELL,MASSACHUSETTS,"42.6458914, -71.3127093"
"MACROLINK, INC.",MEDFORD,NEW YORK,"40.8175985, -73.0001068"
"MAERSK LINE, LIMITED",NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
"MAGELLAN AEROSPACE, MIDDLETOWN, INC",MIDDLETOWN,OHIO,"39.5150576, -84.39827629999999"
MALCOLM INTERNATIONAL LLC,RANCHO CORDOVA,CALIFORNIA,"38.587876, -121.2867722"
"MANAGED CARE ADVISORS, INC.",BETHESDA,MARYLAND,"38.984652, -77.0947092"
MANAGEMENT & TRAINING CORPORATION,CENTERVILLE,UTAH,"40.9180005, -111.8721601"
"MANAGEMENT SYSTEMS INTERNATIONAL, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
MANCON LLC,VIRGINIA BEACH,VIRGINIA,"36.8516437, -75.97921939999999"
MANPOWERGROUP PUBLIC SECTOR INC.,FALLS CHURCH,VIRGINIA,"38.88233400000001, -77.1710914"
MANSON CONSTRUCTION CO,SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
MANSON/CONNOLLY SEAL BEACH JV,SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"MANTECH SRS TECHNOLOGIES, INC.",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
MANTECH TSG-2 JOINT VENTURE,FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
"MAPP BIOPHARMACEUTICAL, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
MARATHON PETROLEUM COMPANY LP,FINDLAY,OHIO,"41.0391283, -83.6502309"
MARE ISLAND DRY DOCK LLC,VALLEJO,CALIFORNIA,"38.1040864, -122.2566367"
"MARINE HYDRAULICS INTERNATIONAL, LLC",NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
MARINE TERMINALS CORPORATION,SAN PEDRO,CALIFORNIA,"33.7360696, -118.2923791"
"MARINERS MUSEUM, THE",NEWPORT NEWS,VIRGINIA,"37.0870821, -76.4730122"
MARINETTE MARINE CORPORATION,MARINETTE,WISCONSIN,"45.0999849, -87.6306623"
MARINEX CONSTRUCTION INC,CHARLESTON SC,SOUTH CAROLINA,"32.7833163, -79.9319664"
"MARION, CITY OF",MARION,ILLINOIS,"37.7307798, -88.932611"
"MARQUIS SOFTWARE SOLUTIONS, INC",PLANO,TEXAS,"33.0216577, -96.6979973"
MARSHALL UNIVERSITY RESEARCH CORPORATION,HUNTINGTON,WEST VIRGINIA,"38.4191481, -82.4451746"
"MARVEL ARCHITECTS, LANDSCAPE ARCHITECTS, URBAN DESIGNERS, PLLC",NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"MARYLAND INDUSTRIAL TRUCKS, INCORPORATED",LINTHICUM HEIGHTS,MARYLAND,"39.2051077, -76.6527456"
"MASON & HANGER GROUP INC, THE",LEXINGTON,KENTUCKY,"38.0389091, -84.5152662"
MASON & HANGER-POND JOINT VENTURE,NORCROSS,GEORGIA,"33.9411081, -84.2137443"
MASON ELECTRIC CO.,SYLMAR,CALIFORNIA,"34.2994874, -118.4588292"
MASSACHUSETTS COMMISSION FOR THE BLIND,BOSTON,MASSACHUSETTS,"42.3555076, -71.0565364"
MASSMAN CONSTRUCTION CO.,OVERLAND PARK,KANSAS,"38.9822282, -94.6707917"
"MASTER SECURITY COMPANY, LLC",COCKEYSVILLE,MARYLAND,"39.4812172, -76.6438598"
MATHEMATICA INC.,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
MATHEMATICA INC.,PRINCETON,NEW JERSEY,"40.3503931, -74.6571416"
"MATSON NAVIGATION COMPANY, INC.",OAKLAND,CALIFORNIA,"37.8043514, -122.2711639"
MATTHEWS GROUP INC,PURCELLVILLE,VIRGINIA,"39.1367303, -77.71445589999999"
MAXAR SPACE LLC,PALO ALTO,CALIFORNIA,"37.4418834, -122.1430195"
MAXAR SPACE ROBOTICS LLC,PASADENA,CALIFORNIA,"34.1476527, -118.144302"
"MAXIM HEALTHCARE STAFFING SERVICES, INC.",COLUMBIA,MARYLAND,"39.2037144, -76.86104619999999"
"MAXIMUS EDUCATION, LLC",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"MAXIMUS FEDERAL CONSULTING, LLC",MCLEAN,VIRGINIA,"38.9338676, -77.1772604"
"MAXIMUS FEDERAL SERVICES, INC.",MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
MAYO CLINIC,ROCHESTER,MINNESOTA,"44.0193287, -92.45883270000002"
"MAYO COLLABORATIVE SERVICES, LLC",ROCHESTER,MINNESOTA,"44.0193287, -92.45883270000002"
MAYTAG AIRCRAFT CORPORATION,COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
MBDA INCORPORATED,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
MC KNIGHT CONSTRUCTION CO INC,AUGUSTA,GEORGIA,"33.4687314, -82.0283188"
"MCCAIN FOODS USA, INC.",OAKBROOK TERRACE,ILLINOIS,"41.8500302, -87.96450770000001"
"MCCARTHY BUILDING COMPANIES, INC.",SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
MCCARTHY HITT - NEXT NGA WEST JV,SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
"MCCRONE ASSOCIATES, INC.",WESTMONT,ILLINOIS,"41.7958639, -87.9756175"
"MCDONOUGH BOLYARD PECK, INC.",FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
"MCGOUGH CONSTRUCTION CO., LLC",SAINT PAUL,MINNESOTA,"44.9537029, -93.0899578"
"MCKEAN DEFENSE GROUP, LLC",PHILADELPHIA,PENNSYLVANIA,"39.9525839, -75.1652215"
MCKESSON CORPORATION,IRVING,TEXAS,"32.8136151, -96.95468989999999"
MCKESSON MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,HENRICO,VIRGINIA,"37.6307265, -77.54399610000002"
"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
MCLAREN PORT HURON,PORT HURON,MICHIGAN,"42.9708634, -82.42491419999999"
MCLAUGHLIN RESEARCH CORPORATION,NEW LONDON,CONNECTICUT,"41.3556539, -72.0995209"
"MCLEAN HOSPITAL CORPORATION, THE",BELMONT,MASSACHUSETTS,"42.3956405, -71.1776114"
"MCMILLEN, INC.",BOISE,IDAHO,"43.6150186, -116.2023137"
"MCNALLY INDUSTRIES, LLC",GRANTSBURG,WISCONSIN,"45.7763419, -92.6827041"
MDPAC JV,HONOLULU,HAWAII,"21.3098845, -157.8581401"
MDRC,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
MEB GENERAL CONTRACTORS INC,CHESAPEAKE,VIRGINIA,"36.7682088, -76.2874927"
"MEDICAL DOCTOR ASSOCIATES, LLC",NORCROSS,GEORGIA,"33.9411081, -84.2137443"
"MEDICAL SCIENCE & COMPUTING, LLC",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
"MEDLINE INDUSTRIES, INC.",MUNDELEIN,ILLINOIS,"42.263079, -88.00396529999999"
"MEDTRONIC USA, INC.",JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
"MEDTRONIC, INC.",MINNEAPOLIS,MINNESOTA,"44.977753, -93.2650108"
MEGGITT (BALTIMORE) INC.,BALTIMORE,MARYLAND,"39.2905023, -76.6104072"
"MEGGITT (ROCKMART), INC.",ROCKMART,GEORGIA,"34.0026005, -85.0416133"
MEGGITT AIRCRAFT BRAKING SYSTEMS CORPORATION,AKRON,OHIO,"41.081199, -81.51883769999999"
MEGGITT DEFENSE SYSTEMS INC,IRVINE,CALIFORNIA,"33.6845673, -117.8265049"
MEGGITT SAFETY SYSTEMS INC,SIMI VALLEY,CALIFORNIA,"34.2694474, -118.781482"
"MELINTA THERAPEUTICS, LLC",PARSIPPANY,NEW JERSEY,"40.8664763, -74.4100392"
"MELWOOD HORTICULTURAL TRAINING CENTER, INC.",UPPER MARLBORO,MARYLAND,"38.8159473, -76.74969089999999"
MEMPHIS GOODWILL INDUSTRIES INC,MEMPHIS,TENNESSEE,"35.1485812, -90.0518955"
MERCK SHARP & DOHME LLC,RAHWAY,NEW JERSEY,"40.6057719, -74.2887287"
MERCURY SYSTEMS INC,ANDOVER,MASSACHUSETTS,"42.6627301, -71.1446897"
"MERIDIAN MEDICAL TECHNOLOGIES, LLC",SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
MERRICK & COMPANY,GREENWOOD VILLAGE,COLORADO,"39.6172101, -104.9508141"
"MERRICK-RS&H JOINT VENTURE, LLP",GREENWOOD VILLAGE,COLORADO,"39.6172101, -104.9508141"
MERRICK-SURDEX JOINT VENTURE,GREENWOOD VILLAGE,COLORADO,"39.6172101, -104.9508141"
"MERRILL TECHNOLOGIES GROUP, LLC",SAGINAW,MICHIGAN,"43.4195608, -83.9473706"
"MESA ENERGY SYSTEMS, INC",IRVINE,CALIFORNIA,"33.6845673, -117.8265049"
MESSER CONSTRUCTION CO,CINCINNATI,OHIO,"39.1031182, -84.5120196"
"METAL IMPROVEMENT COMPANY, LLC",LIVERMORE,CALIFORNIA,"37.6818688, -121.7684732"
METAPHASE CONSULTING LLC,HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"METHUEN CONSTRUCTION CO., INC.",PLAISTOW,NEW HAMPSHIRE,"42.8364781, -71.0947805"
METRO MACHINE CORP,JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
METRO MACHINE CORP,NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
METRO MACHINE CORP.,BREMERTON,WASHINGTON,"47.5650067, -122.6269768"
"METROPOLITAN SECURITY SERVICES, INC.",CHATTANOOGA,TENNESSEE,"35.0457984, -85.3093995"
METROSTAR SYSTEMS LLC,RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"MICHAEL BAKER INTERNATIONAL, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
"MICHAEL BAKER INTERNATIONAL, INC.",ALEXANDRIA,VIRGINIA,"38.804693, -77.0435257"
"MICHAEL BAKER INTERNATIONAL, INC.",PITTSBURGH,PENNSYLVANIA,"40.4386612, -79.99723519999999"
"MICHAEL BAKER INTERNATIONAL, INC.",MOON TOWNSHIP,PENNSYLVANIA,"40.51697670000001, -80.22134770000001"
"MICHAEL FOODS, INC",HOPKINS,MINNESOTA,"44.9244005, -93.41143989999999"
"MICHAEL STAPLETON ASSOCIATES, LTD.",NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"MICHELS CONSTRUCTION, INC.",BROWNSVILLE,WISCONSIN,"43.6163809, -88.4906592"
MICHIGAN TECHNOLOGICAL UNIVERSITY,HOUGHTON,MICHIGAN,"47.12113309999999, -88.5694182"
"MICRO SYSTEMS, INC",FORT WALTON BEACH,FLORIDA,"30.42007079999999, -86.6170308"
MICROSEMI CORP. - RF SIGNAL PROCESSING,SIMSBURY,CONNECTICUT,"41.8702338, -72.8046648"
MICROSEMI FREQUENCY AND TIME CORPORATION,BOULDER,COLORADO,"40.0189728, -105.2747406"
MICROSOFT CORPORATION,REDMOND,WASHINGTON,"47.6739881, -122.121512"
"MID-AMERICA CONVERSION SERVICES, LLC",OAK RIDGE,TENNESSEE,"36.0103561, -84.26964490000002"
MIDMARK CORPORATION,MIAMISBURG,OHIO,"39.6417046, -84.2878683"
"MIDTOWN PERSONNEL, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
MIDWEST CITY PUBLIC SCHOOLS I-52,OKLAHOMA CITY,OKLAHOMA,"35.4688692, -97.519539"
"MIKE HOOKS, LLC",WESTLAKE,LOUISIANA,"30.2421496, -93.25070989999999"
"MIL CORPORATION, THE",LEXINGTON PARK,MARYLAND,"38.2575517, -76.4620928"
"MILESTONE CONTRACTORS, LP",BLOOMINGTON,INDIANA,"39.169574, -86.5385549"
"MILLENNIUM SPACE SYSTEMS, INC.",EL SEGUNDO,CALIFORNIA,"33.9191799, -118.4164652"
"MILLERKNOLL, INC.",ZEELAND,MICHIGAN,"42.8125246, -86.01865099999999"
"MILLIMAN, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
"MILLIMAN, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
"MILTON J. WOOD FIRE PROTECTION, INC.",JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
MIRROR INC,NEWTON,KANSAS,"38.0466779, -97.34503649999999"
"MISSION ESSENTIAL GROUP, LLC, THE",NEW ALBANY,OHIO,"40.0821602, -82.8100923"
MISSION SUPPORT AND TEST SERVICES LLC,OLATHE,KANSAS,"38.8813958, -94.81912849999999"
MISSION SYSTEMS DAVENPORT INC.,DAVENPORT,IOWA,"41.5237912, -90.57658699999999"
MISSISSIPPI POWER COMPANY,GULFPORT,MISSISSIPPI,"30.3674198, -89.0928155"
MISSOURI HIGHER EDUCATION LOAN AUTHORITY,CHESTERFIELD,MISSOURI,"38.6631083, -90.5770675"
MN-BMCD JV,NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
